Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;1115883;Жевачка;Жвачка Чупа Чупс 72 гр Баланова;шт.;1,000;164,00;164,00;
;;;815;Фрукты/Овощи/Зелень;Яблоки Шафран;кг;1,000;143,24;143,24;
;;;108843;Сладкое/Домашняя выпечка;Баранки 350гр Николаевские;шт.;3,000;72,25;216,75;
;;;1118810;Для дома;Матовый полироль;шт.;3,000;250,00;750,00;
;;;1119590;Для дома;Зажигалка филнов;шт.;18,000;25,00;450,00;
;;;94990;Чипсы;Чипсы 5D 45гр;шт.;74,000;16,98;1256,15;
;;;1206;Напитки/Чай/Кисель;Чай Принцесса НУРИ 25 пак 50 гр;шт.;12,000;42,00;504,00;
;;;1118344;Служебная группа;Духи мужские лакоста 100 мл;шт.;3,000;329,00;987,00;
;;;111399;Детские товары;Подгузники Хаггис девочкам 7  40шт;шт.;1,000;1100,00;1100,00;
;;;2000999844185;Сладкое/Прочее/Милка;Спрей смартфон 15 мл;шт.;29,000;17,25;500,25;
;;;1119698;Продукты Питания/Консервы/Зелень;Косметичка 805;шт.;1,000;300,00;300,00;
;;;2000999844397;Химия/Для себя/Полость рта;Аэрозоль Glade 300 мл сандал;шт.;4,000;127,24;508,96;
;;;1116873;Сладкое/Вафли/Зефир;Мармелад бебетто 180 гр нов;шт.;7,000;155,93;1091,51;
;;;80;Весовые товары/Выпечка;Крыжовник;кг;1,366;450,00;614,70;
;;;100276;Продукты Питания/Павильное Питание;Мюсли 280гр фруктовые ОГО;шт.;2,000;91,59;183,18;
;;;1117506;Сладкое/Домашняя выпечка;Белковые трубочки азбука вкуса;шт.;1,000;190,00;190,00;
;;;103080;Фрукты/Сухофрукты;Изюм черный крупный 300гр Аль Ихляс;шт.;7,000;160,00;1120,00;
;;;1119505;Химия/Для себя/Бритвы;Станки мужские греен плюс 5 шт;шт.;1,000;73,00;73,00;
;;;101370;Сушеные Рыба/Говядина;Янтарная соломка путассу 25гр Бирка;шт.;4,000;29,67;118,68;
;;;95;Весовые товары/Конфеты;Конфеты Морские;кг;7,667;365,80;2804,59;
;;;1117497;Сладкое/Домашняя выпечка;Чак чак от Седы;шт.;1,000;450,00;450,00;
;;;1118537;Напитки/Соки;Акапелла мохито 0.4 мл;шт.;6,000;50,42;302,50;
;;;1119661;Для дома;Ложки вилки  одноразовые;шт.;90,000;2,00;180,00;
;;;108434;Продукты Питания/Молочка/Сгущенка;Сгущенка Королевский Вкус 1300гр;шт.;5,000;215,00;1075,00;
;;;1118581;Электроника;Магнит для телефона ф 62;шт.;1,000;210,00;210,00;
;;;1119633;Химия/Для себя;Аромасвеча с пупыришками;шт.;7,000;220,00;1540,00;
;;;98112;Напитки/Вода;Кайтаг10.07;шт.;4,000;120,00;480,00;
;;;101607;Кошачьи товары;Корм для котят Вискас 75гр Рагу Ягненок;шт.;43,000;29,99;1289,57;
;;;101610;Для дома;Зубочистки пластиковые с ниткой 50шт;шт.;2,000;60,00;120,00;
;;;1118679;Продукты Питания/Молочка;Сыр косичка гиагинский;шт.;1,000;105,00;105,00;
;;;110342;Напитки/Вода;Минералка Бернар 0.45л стекло;шт.;37,000;57,50;2127,50;
;;;1116546;Сладкое/Мармелад/Драже/Карамель/Мармелад;Конфеты Фру-Телла 70 гр;шт.;8,000;86,45;691,60;
;;;1194;Напитки/Чай/Кисель;Принцесса Ява лимон и т д 25 пак;шт.;4,000;48,00;192,00;
;;;1119266;Напитки/Соки;J7 сок красный апельсин 0.385 мл;шт.;15,000;67,00;1005,00;
;;;94879;Продукты Питания/Мариновки;Огурцы с зеленью 670гр ИСМАИЛ;шт.;8,000;93,00;744,00;
;;;238;Весовые товары/Драже;ВС Козинаки карандаши;кг;2,486;304,80;757,73;
;;;111446;Сладкое/Конфеты/Печенья упаковки;Конфеты Фигурный Бочонок 0.5кг;шт.;4,000;280,00;1120,00;
;;;1119399;Весовые товары/Выпечка;Милка конфеты 110 гр;шт.;2,000;240,00;480,00;
;;;1119554;Сладкое/Прочее/Киндер;Жарим рыбу с лимонными травами 300 гр;шт.;2,000;130,00;260,00;
;;;103321;Напитки/Соки;Сок Добрый Кока Кола без сахара 1.5л;шт.;7,000;84,46;591,19;
;;;97469;Химия/Для себя/Салфетки влажные;Влажные Салфетки для всей семьи 120шт;шт.;7,000;50,00;350,00;
;;;1364;Сладкое/Шоколадные плитки/пасты;Плитка мини  Казахстан 20 гр;шт.;51,000;28,00;1428,00;
;;;438;Весовые товары/Вафли вес;Вафли Ретро сладонеж шоколад 8мес (Альфа);кг;0,918;327,17;300,34;
;;;104254;Служебная группа;Сахар Баракат 3кг;шт.;6,000;187,00;1122,00;
;;;99301;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Томатная паста 500гр Королевский вкус;шт.;2,000;132,83;265,66;
;;;1117545;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Рис шено  басмати 2 кг;шт.;2,000;450,00;900,00;
;;;95661;Напитки/Соки;Липтон 0.25л Ж Б;шт.;25,000;57,50;1437,50;
;;;1119101;Химия/Для себя;Шампунь  гель 1000мл;шт.;6,000;216,00;1296,00;
