Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,1115534,Продукты Питания/Консервы/Мясо,Консервы Гречневая с говядина,шт.,3,180,216
,,,109899,Игрушки,Кукла бэби лайф,шт.,4,700,1350
,,,103369,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр плавленый Президент 400гр С грибами,шт.,2,256.93,308
,,,1243,Напитки/Чай/Кисель,Чай Азер 100 пакетиков,шт.,3,190,227
,,,354,Весовые товары/Выпечка,Печенье сдобное сухарики Терранателли с изюмом 3мес (Альфа) 62дн,кг,0.396,256.666666666667,435
,,,96697,Сладкое/Мороженое,Мороженое Лед,шт.,10,11,20
,,,99068,Сладкое/Мороженое,Эскимо Зюзя в шоколадной шлазури 80гр,шт.,37,85.5,105
,,,1119511,Одежда/Носки/Гольфы,Мужские носки уют 892,шт.,3,45,85
,,,1116764,Жевачка,Мамба мармелад 72 гр,шт.,1,88.44,127
,,,1118422,Кошачьи товары,Зажигалка ассорти,шт.,25,40,65
,,,2000999844363,Химия/Для себя,Супер клей 3 гр,шт.,10,28,38
,,,97877,Сухарики,Сухарики Резон 40гр,шт.,55,12,25
,,,102517,Сладкое/Домашняя выпечка,Рулет в ассортименте Азбука Вкуса,шт.,1,420,504
,,,99300,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Томатная паста 700гр Королевский вкус,шт.,3,174.89,210
,,,1116859,ДЛЯ КАССЫ/Химия,Миски зам зам,шт.,30,400,600
,,,1119187,Канцтовары,Дневник 5-11 кл,шт.,2,60,110
,,,1117170,Детские товары,Хот ланч с курицей 90 гр,шт.,3,53.5,78
,,,2000999844096,Кошачьи товары,Корм феликс печень 75 гр,шт.,6,25.99,35
,,,1118532,Сладкое/Прочее,Крембер сендвич 84 гр,шт.,24,60.33,85
,,,814,Весовые товары/Мясное,Котлеты из Мясо Цыпленка,кг,7.942,233,312
,,,98194,Продукты Питания/Мука/Сахар/Соль/Крахмал,Соль высший сорт 1кг Кулина,шт.,17,52,76
,,,2000999844421,Сладкое,Машина леденец 12 гр,шт.,24,90,
,,,1119315,Чипсы/Принглс,Прингалс 158 гр ранчо,шт.,2,245,320
,,,106350,Сладкое/Мороженое,Фруто-Лед 70г,шт.,51,11,20
